time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,digits,hl2,hlc3,ohlc4,range,range_pct,range_points,hour,is_london_session,is_us_session,is_asian_session,is_high_impact_hour,body,body_pct,upper_shadow,lower_shadow,is_bullish,is_doji,price_change,price_change_pct,price_change_points,atr_14,volatility_pct,sma_20,sma_50,ema_20,volume_ma,volume_ratio,prev_high,prev_low,higher_high,lower_low,swing_high,swing_low,swing_high_price,swing_low_price,swing_strength,higher_low,lower_high,market_structure,structure_strength,choch,bos,structure_break,break_strength,bullish_ob,bearish_ob,ob_high,ob_low,ob_strength,bullish_fvg,bearish_fvg,fvg_high,fvg_low,fvg_size,fvg_efficiency,buy_liquidity,sell_liquidity,liquidity_strength,liquidity_proximity,structure_momentum,gold_volatility,gold_momentum,ob_distance,ob_age,fvg_unfilled,smc_confluence,session_weighted_confluence
2023-11-28 16:00:00,2021.47,2043.02,2020.61,2040.68,41450,0,0,XAUUSD.v,H4,2,2031.815,2034.77,2031.445,22.41000000000008,1.0981633573122724,2241.000000000008,16,1,1,0,0,19.21000000000004,85.72066041945546,2.339999999999918,0.8600000000001273,1,0,19.21000000000004,0.9502985451181668,1921.000000000004,8.257857142857135,0.6206799437413936,2007.162,1994.8894,2010.332202586337,15932.45,2.6016086665892564,2021.52,2011.62,0,0,0,0,,,0.0,0,0,1,0.0,0,1,1,1.0981633573122724,0,0,,,0.0,1,0,2038.2,2021.52,16.680000000000064,0.7443105756358771,0,0,0,,1.0,513.2748596794376,796.3000000000011,,0,0,2,3.9000000000000004
2023-11-28 20:00:00,2040.78,2042.51,2038.2,2041.26,12995,0,0,XAUUSD.v,H4,2,2040.355,2040.6566666666668,2040.6875,4.309999999999945,0.2111440972732501,430.99999999999454,20,0,1,0,0,0.4800000000000182,11.136890951276666,1.25,2.5799999999999272,1,0,0.5799999999999272,0.028421898582831,57.99999999999272,8.027142857142849,0.7073803744517447,2009.5045,1996.3902,2013.277707101924,15809.6,0.8219689302702156,2043.02,2020.61,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,516.596197797609,777.0000000000005,,0,0,0,0.0
2023-11-29 00:00:00,2040.93,2051.94,2040.57,2048.71,13844,0,0,XAUUSD.v,H4,2,2046.255,2047.0733333333333,2045.5375,11.370000000000118,0.5549833797853341,1137.0000000000118,0,0,0,1,0,7.779999999999973,68.4256816182928,3.230000000000018,0.3600000000001273,1,0,7.450000000000045,0.3649706553795262,745.0000000000045,8.376428571428571,0.8012119577333509,2012.3025,1997.9222,2016.6522111874544,15934.4,0.8688121297319008,2042.51,2038.2,1,0,1,0,2051.94,,46.200000000000045,0,0,1,1.67581709710028,0,1,1,0.5549833797853341,0,1,2051.94,2040.57,0.18132188555158832,1,0,2042.99,2042.51,0.4800000000000182,0.042216358839051296,0,0,0,,1.0,517.0571178872734,822.7000000000022,0.0015766018616592968,0,0,3,2.0999999999999996
2023-11-29 04:00:00,2048.71,2048.98,2042.99,2045.94,15208,0,0,XAUUSD.v,H4,2,2045.985,2045.97,2046.655,5.990000000000009,0.2927749591874644,599.0000000000009,4,0,0,1,0,2.769999999999982,46.24373956594287,0.2699999999999818,2.950000000000045,0,0,-2.769999999999982,-0.1352070327181431,-276.9999999999982,8.591428571428569,0.8438014706558141,2015.021,1999.174,2019.4415244076968,16156.85,0.9412725871689096,2051.94,2040.57,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,515.3771638835295,816.9000000000028,,0,0,0,0.0
2023-11-29 08:00:00,2045.94,2046.21,2035.34,2038.4,22144,0,0,XAUUSD.v,H4,2,2040.775,2039.9833333333336,2041.4725,10.870000000000118,0.533261381475673,1087.0000000000118,8,1,0,0,1,7.539999999999964,69.36522539098327,0.2699999999999818,3.060000000000173,0,0,-7.539999999999964,-0.3685347566399821,-753.9999999999964,8.012142857142878,0.8389132064977085,2017.301,2000.3158,2021.247093511726,16937.8,1.3073716775496227,2048.98,2042.99,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,512.7872109210698,833.3000000000038,,0,0,0,0.0
2023-11-29 12:00:00,2038.38,2042.99,2036.76,2039.11,28465,0,0,XAUUSD.v,H4,2,2039.875,2039.62,2039.31,6.230000000000018,0.3055254498286026,623.0000000000018,12,1,0,0,0,0.7299999999997908,11.717495987155518,3.880000000000109,1.6200000000001182,1,0,0.709999999999809,0.034831240188371,70.9999999999809,8.011428571428594,0.8261338624470014,2019.5405,2001.4292,2022.948322701085,17847.4,1.5949101829958423,2046.21,2035.34,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,503.5732816581902,843.6000000000037,,0,0,0,0.0
2023-11-29 16:00:00,2039.1,2046.97,2037.08,2045.03,41217,0,0,XAUUSD.v,H4,2,2042.025,2043.0266666666664,2042.045,9.8900000000001,0.4836114873620485,989.00000000001,16,1,1,0,0,5.930000000000064,59.95955510616788,1.9400000000000543,2.019999999999982,1,0,5.920000000000073,0.2903227388419527,592.0000000000073,8.23214285714289,0.8169156566718948,2022.0665,2002.6414,2025.0513395866965,19260.85,2.1399367109966594,2042.99,2036.76,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,1,2046.97,2037.08,0.05105346869047674,0,0,,,,,0,0,0,,1.0,490.93501285007704,893.400000000006,0.0009486413402248645,0,0,1,1.9500000000000002
2023-11-29 20:00:00,2045.05,2049.56,2042.77,2044.1,14663,0,0,XAUUSD.v,H4,2,2046.165,2045.4766666666667,2045.37,6.789999999999964,0.3321755295729154,678.9999999999964,20,0,1,0,0,0.9500000000000456,13.991163475700302,4.509999999999991,1.3299999999999272,0,0,-0.9300000000000636,-0.0454761054850094,-93.00000000000637,8.247857142857177,0.8066554076145191,2024.2915,2003.6978,2026.8654977212968,19108.1,0.7673709055322089,2046.97,2037.08,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,491.76228746053835,925.600000000004,,0,0,0,0.0
2023-11-30 00:00:00,2044.86,2046.82,2043.09,2043.3,7127,0,0,XAUUSD.v,H4,2,2044.955,2044.4033333333332,2044.5175,3.730000000000018,0.1825478392795976,373.0000000000018,0,0,0,1,0,1.5599999999999454,41.82305630026643,1.9600000000000364,0.2100000000000363,0,0,-0.7999999999999545,-0.0391370285211079,-79.99999999999545,7.855000000000034,0.7839110720207354,2026.4075,2004.8682,2028.4306884145064,18108.15,0.3935796864947551,2049.56,2042.77,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,500.5206000282422,914.9000000000048,,0,0,0,0.0
2023-11-30 04:00:00,2043.3,2047.25,2041.39,2041.66,11762,0,0,XAUUSD.v,H4,2,2044.32,2043.4333333333332,2043.4,5.8599999999999,0.2870213453758167,585.99999999999,4,0,0,1,0,1.639999999999873,27.9863481228652,3.9500000000000455,0.2699999999999818,0,0,-1.639999999999873,-0.0802623207556307,-163.99999999998727,7.902142857142882,0.7474149715632131,2028.377,2006.0796,2029.69062285122,18624.1,0.6315472962451877,2046.82,2043.09,0,0,0,0,,,0.0,0,0,1,0.0,0,0,0,0.0,0,0,,,0.0,0,0,,,,,0,0,0,,1.0,489.21654606867986,874.5000000000027,,0,0,0,0.0
